"System","E","uE"
"622-96-8","-0.809318929254302","0.461010128145193"
"625-27-4","-2.2157996558317","0.500023839997984"
"627-19-0","-0.0699422753345971","0.663085423649625"
"627-20-3","-2.10202061185468","0.517063824124427"
"627-21-4","0.121919388145301","0.56866900820751"
"628-71-7","1.3124554110899","1.42167166085511"
"643-58-3","1.4345464818356","0.779722848519635"
"644-08-6","-0.710887265774403","0.832523560133904"
"689-97-4","1.94110216061181","0.364651251108322"
"694-87-1","-0.431826214149105","0.718243602767735"
"7318-67-4","-1.8214783173996","0.558957768541015"
"74-82-8","-0.177597342256202","0.419952261846913"
"74-84-0","-0.848494130019102","0.31753214729891"
"74-85-1","-0.2307582791587","0.639381718354295"
"74-86-2","0.942180382409198","0.357278749210047"
"74-98-6","-0.362570573613802","0.286823180183423"
"75-28-5","0.124009063097503","0.648178562364197"
"760-20-3","-0.421499598470401","1.09668786325232"
"760-21-4","-1.8598417973231","0.766696819984632"
"7642-09-3","-2.4912290248566","0.757455235766978"
"764-35-2","0.0743777820267972","0.818237212365834"
"768-49-0","-1.6801861185468","0.79269016095368"
"78-78-4","0.410878355640499","0.888822165246789"
"78-79-5","-4.0478057743786","0.712413949682279"
"78-80-8","1.3808656596558","0.329205423798879"
"827-52-1","-0.0489857934990399","1.01673257145595"
"83-32-9","0.961119426386198","1.14395002840195"
"84-15-1","2.86910217973229","2.24973877469408"
"86-73-7","-2.2766564244742","1.34851749419169"
"873-66-5","0.2536022753346","0.395943236580953"
"90-12-0","0.000390554493300499","0.932814207971623"
"91-57-6","0.5251259655832","0.724944802952875"
"917-92-0","-0.180041395793502","0.729690131157265"
"92-24-0","11.0531643021032","3.51519700686597"
"92-52-4","1.6708442256214","0.898472282940667"
"92-94-4","4.90279135755261","1.55307328595169"
"95-13-6","0.389594665392003","0.855305479986796"
"95-47-6","-0.83721101338432","0.65925678223213"
"959-02-4","0.135560057361403","1.71462640084817"
"98-82-8","0.244492370936902","0.680442515869444"
"98-83-9","-1.0194672275335","0.638258818236652"
