"System","E","uE"
"Pyrimidine","2.35493","0.111149874751579"
"1,2-dicyano ethane","0.71996","0.120348963227153"
"Pyrazin","-1.81364","0.124387659993851"
"Acetyl acetylene","-3.0166","0.176726007237338"
"Crotonaldehyde","0.5227","0.0996758980275027"
"Acetic anhydride","-2.03869999999998","0.501478020242911"
"Isobutane nitrile","-1.16237","0.132578727762173"
"Methylethylketone","-0.334340000000005","0.0781342686056451"
"2-Methylpropionaldehyde","-1.08934","0.222126009269049"
"1,4-Dioxane","0.346519999999998","0.34443165050218"
"Tetrahydropyrrole","0.53395","0.143025440318771"
"Nitro-s-butane","-1.38842","0.576861601292686"
"Diethylether","0.204510000000006","0.189352095545181"
"1,1-Dimethoxy ethane","0.554290000000009","0.142340889792593"
"t-Butylamine","0.22767","0.255099380411715"
"N-Methylpyrrole","0.375770000000003","0.140022890175444"
"Tetrahydropyran","0.331589999999998","0.308642490967468"
"Diethylketone","0.297419999999995","0.244552327607911"
"Isopropylacetate","0.451179999999994","0.297411521772045"
"Piperidine","0.38923","0.359438038615063"
"t-Butylmethylether","0.383610000000004","0.289955799033402"
"Diisopropylether","0.304310000000001","0.23679074767138"
"100-01-6     ","-1.1705333652008","0.156869194864125"
"100-02-7     ","-0.145107934990399","0.150350093500597"
"109-95-5     ","-3.7835317973231","0.161594759694076"
"118-96-7     ","-0.6404345889101","0.599323659127538"
"121-14-2     ","-0.22743956022944","0.25425139129791"
"121-82-4     ","-2.3220409560229","3.3708568284382"
"13980-04-6   ","1.07100347992349","0.189277297049485"
"140-79-4     ","-0.733006042065","0.294692779087419"
"1516-60-5    ","-1.40267996175909","0.291679900351768"
"153654-73-0  ","-18.0332321988528","25.6810793178839"
"19836-28-3   ","-14.964656042065","20.0390614139686"
"20062-22-0   ","-13.3960419311664","3.72274739422397"
"24886-73-5   ","-2.0594402868069","2.76133022480965"
"28464-24-6   ","-8.1864811854684","7.06066076540972"
"32366-26-0   ","-1.84990986615681","1.61394124635733"
"4164-28-7    ","-0.90635868068834","0.157664445815465"
"4164-37-8    ","-0.947118871892899","1.53284689922042"
"509-14-8     ","-13.669963499044","20.3323964131193"
"540-80-7     ","-0.990564321223694","0.743862511676689"
"543-67-9     ","-0.8418320267686","0.422668292908348"
"544-16-1     ","-3.0213451816444","0.198110100860713"
"554-84-7     ","-0.0592369598469986","0.14560729357034"
"55-63-0      ","0.932088470363311","1.9504610835285"
"56522-42-0   ","-9.69111139579351","4.61468226553067"
"57449-43-1   ","-5.16369747609943","1.06958242860439"
"586-96-9     ","0.885144684512404","0.140370448416967"
"594-70-7     ","-0.7607855449331","0.684663394275519"
"598-58-3     ","-1.3830709560229","0.98901526043096"
"611-38-1     ","-6.39717095602294","1.86756913290338"
"622-37-7     ","-0.389059502868108","0.196815806260745"
"622-42-4     ","-1.90741390057361","0.667996185280255"
"622-79-7     ","0.314393135755211","0.456694523262921"
"624-91-9     ","-0.8109957170172","1.76716583381677"
"625-58-1     ","-1.2809379541109","0.273520110732839"
"625-76-3     ","1.06923915869981","2.14067307757473"
"7119-94-0    ","-0.178282810707461","0.884334689320558"
"75-52-5      ","-0.316530133843202","0.140258734415431"
"81-20-9      ","-0.0671295219885302","0.374492360632167"
"88381-75-3   ","-7.7882967686424","5.58941456888591"
"88-75-5      ","-1.7586888910134","0.239797589679976"
"91633-36-2   ","-2.5911728298279","2.90930665932347"
"918-37-6     ","-35.7438496175908","45.6436155294295"
"98-95-3      ","0.236686290630999","0.04359005560378"
"99-09-2","-0.636142065009601","0.102612995776868"
"99-99-0      ","0.11444724665392","0.147120266600526"
"103-29-7","-1.3684221797323","0.210492464477223"
"103-30-0","-1.6125694646272","0.217503868983043"
"108-38-3","-0.60690133843212","0.248020323833437"
"108-88-3","-0.4820426195029","0.106523057954126"
"109-66-0","0.0853679349904013","0.251102474357067"
"109-67-1","-0.74568217973231","0.06980666207005"
"110-54-3","-1.160019082218","0.258426369882214"
"1119-65-9","0.224656424474198","0.37335589207401"
"115-07-1","-0.15538413001912","0.12656802295165"
"119-64-2","-0.157012332695991","0.202098931287526"
"120-12-7","-0.360915525812601","0.268557738506792"
"13269-52-8","-0.196662791586999","0.231782055261163"
"135-01-3","-0.80644185468451","0.296399498216933"
"135-98-8","-0.57611980879541","0.177984823447631"
"141-93-5","0.112406099426391","0.298521526830796"
"14255-23-3","1.3639982791587","0.242393011393999"
"142-82-5","-0.0457672466539023","0.285580333854212"
"14596-92-0","-1.9279515678776","0.199209991848718"
"1574-40-9","0.940519923518202","0.202036859662043"
"1574-41-0","-3.0217855066922","0.0974976099759396"
"16668-67-0","4.012337839388","0.103207662483602"
"187-78-0","-6.5330962141491","0.998282093794603"
"191-07-1","-3.7098339961759","5.66507230813779"
"195-19-7","0.950173881453196","0.924204272920202"
"198-55-0","0.623630650095606","1.73794433052566"
"20237-34-7","-1.464020248566","0.181508189122315"
"208-96-8","-0.342890248566","0.392106876472325"
"215-58-7","-1.9349013384321","1.14008028345576"
"2175-90-8","-1.1530340726577","0.379524528187945"
"2523-37-7","-2.7925710516252","0.436892669157899"
"259-79-0","-0.172626883365197","2.02871087511115"
"2612-46-6","-1.7027533843212","0.230660725783796"
"27546-46-9","-0.604840114722798","0.138087019067937"
"275-51-4","1.1014667304015","0.364677016896435"
"300-57-2","-0.490572504780101","0.192342184654522"
"3404-61-3","-0.880171204588899","0.137445491043643"
"3404-63-5","0.5667348183556","0.13865539860703"
"3404-73-7","-1.2311402868069","0.234487790764533"
"4038-04-4","-2.8801486615679","0.257753597398434"
"4050-45-7","-0.566206558317399","0.0870148787289536"
"463-82-1","-0.335333097514301","0.343428798893797"
"501-65-5","-4.35857158699811","0.49942183668096"
"503-17-3","0.0121589483748039","0.161439748447585"
"50-32-8","-2.3716869407266","1.7045331353951"
"513-35-9","-0.61517804971319","0.113211461823726"
"5194-51-4","-1.0933576099426","0.212301921988124"
"536-74-3","-2.9197313001912","0.160862576720921"
"53-70-3","-0.981798546845098","0.687101554830155"
"558-37-2","-0.5418924474187","0.144789177708099"
"562-49-2","-0.883905831739995","0.531474967488229"
"563-45-1","-0.54673889101338","0.140795409782441"
"563-46-2","-0.43816133843212","0.0998907439528424"
"563-78-0","-0.992829082218","0.232406497877964"
"567-79-3","-4.3987013384321","1.18227721575252"
"581-40-8","-0.883751682600398","0.29987902532808"
"5821-51-2","-11.921898833652","5.69174848891479"
"590-35-2","-0.595102791587003","0.499852322251588"
"591-76-4","-0.360578546845105","0.343512168718394"
"591-93-5","-0.262160248565998","0.110362053775087"
"598-23-2","-0.8653575908222","0.171338899516155"
"6053-74-3","-4.1993051051625","0.85750116248396"
"620-14-4","-0.159210898661568","0.222097883237272"
"622-96-8","-0.582838929254302","0.14749346905332"
"625-27-4","-0.914129655831701","0.10375622177571"
"627-19-0","-0.155772275334598","0.106310976418504"
"627-20-3","-0.69569061185468","0.129409198076318"
"627-21-4","0.0678993881452996","0.200607285483414"
"628-71-7","0.774085411089899","0.253032859830782"
"643-58-3","0.250346481835599","0.2592200387873"
"644-08-6","-1.9116172657744","0.213295766072317"
"689-97-4","1.4414021606118","0.0550031535234064"
"694-87-1","0.0767337858508981","0.257107075569473"
"7318-67-4","-0.827818317399601","0.234424840003963"
"74-82-8","-0.538637342256202","0.160004278789051"
"74-84-0","-0.3670241300191","0.0804597296501206"
"74-85-1","-0.0332582791586997","0.107491861384912"
"74-86-2","-0.364429617590801","0.0644858185015371"
"74-98-6","-0.0833205736138005","0.0597836363476952"
"75-28-5","-0.1722709369025","0.12307772236887"
"760-20-3","-0.7010795984704","0.190617316251825"
"760-21-4","-1.2006917973231","0.204944590973623"
"7642-09-3","-0.594369024856599","0.16497271026188"
"764-35-2","0.461257782026799","0.259569194223143"
"768-49-0","-0.7735461185468","0.333677177432092"
"78-78-4","-0.351791644359501","0.083594624979592"
"78-79-5","-3.1888157743786","0.0796062880713139"
"78-80-8","1.1300156596558","0.184572185770427"
"827-52-1","0.31627420650096","0.209484403860487"
"83-32-9","0.325199426386199","0.450571805884525"
"84-15-1","1.66758217973229","0.581343529329542"
"86-73-7","-2.3639464244742","0.396125467208669"
"873-66-5","0.397892275334602","0.212378123119"
"90-12-0","-0.0912494455067012","0.160938542630651"
"91-57-6","-0.158494034416801","0.140038953256762"
"917-92-0","-0.585931395793502","0.114839983204773"
"92-24-0","4.5400443021032","0.493690352940259"
"92-52-4","0.308544225621397","0.201634591665304"
"92-94-4","2.7873213575526","0.376177006701837"
"95-13-6","0.00161466539199751","0.124798380358633"
"95-47-6","0.0105589866156803","0.237534981685207"
"959-02-4","-0.281809942638596","0.593233264519273"
"98-82-8","-0.298087629063098","0.23131034489748"
"98-83-9","-0.9058272275335","0.140156120604443"
